ID,Date,Bill Nelson,Rick Scott,Mode,538 Rating,Sample Subpopulation,MOE,Sponsor,Source,Headline
1,2/26/2017,0.44,0.38,Live Callers,B+,Registered Voters,3.1,,University of North Florida,
2,2/28/2017,0.46,0.41,,B+,,4,,Mason-Dixon,
3,3/5/2017,0.46,0.44,,B,,4,,Florida Hospital Association/Public Opinion Strategies,
4,3/11/2017,0.39,0.34,Online,C+,Adults,4.5,,St. Leo University,
5,3/14/2017,0.48,0.42,IVR,,Likely voters,4,,Florida Chamber of Commerce,
6,3/29/2017,0.52,0.37,IVR,B-,Registered Voters,2.6,,Gravis Marketing,
7,4/10/2017,0.56,0.28,IVR,B-,Registered Voters,2.8,,Gravis Marketing,
8,8/28/2017,0.42,0.4,Phone,C+,Registered Voters,7,,Florida Atlantic University,
9,9/27/2017,0.45,0.47,Live Phone,,Likely voters,4,,FL Chamber of Commerce,
10,10/25/2017,0.37,0.36,Live Phone,B+,Registered Voters,3.39,,University of North Florida,
11,10/26/2017,0.44,0.44,Live Phone,B+,Registered Voters,4,,Mason-Dixon,
12,2/26/2018,0.46,0.42,Live Phone,A-,Registered Voters,3.6,,Quinnipiac,
13,3/7/2018,0.41,0.43,Live Phone,,Likely voters,4.6,,Clearview Research
